"orgnr_sh";"Op_gr";"n_norgast";"n_npr";"DG";"AvdRESH"
874632562;1;47;49;95,9183673469388;108357
874716782;5;257;277;92,7797833935018;103312
874716782;6;104;108;96,2962962962963;103312
874716782;4;1;2;50;103312
874716782;8;9;12;75;103312
874716782;7;61;65;93,8461538461538;103312
874716782;1;3;22;13,6363636363636;103312
974116804;2;2;3;66,6666666666667;107505
974116804;4;0;1;0;107505
974116804;1;63;69;91,304347826087;107505
974316285;1;109;122;89,344262295082;100170
974316285;2;0;1;0;100170
974329506;2;1;2;50;4211928
974329506;1;70;72;97,2222222222222;4211928
974329506;6;0;1;0;4211928
974557746;8;5;3;100;700922
974557746;1;310;337;91,9881305637982;700922
974557746;3;28;29;96,551724137931;700922
974557746;7;15;16;93,75;700922
974557746;6;29;31;93,5483870967742;700922
974557746;4;44;43;100;700922
974557746;2;148;164;90,2439024390244;700922
974557746;5;65;66;98,4848484848485;700922
974589095;3;49;46;100;106168
974589095;4;37;44;84,0909090909091;106168
974589095;2;87;102;85,2941176470588;106168
974589095;7;0;2;0;106168
974589095;1;223;245;91,0204081632653;106168
974631091;4;0;1;0;100354
974631091;1;23;22;100;100354
974631326;1;150;149;100;4204082
974631326;2;56;57;98,2456140350877;4204082
974631385;1;0;1;0;NA
974631407;6;0;1;0;4204084
974631407;6;0;1;0;4204126
974631407;1;55;71;77,4647887323944;4204084
974631407;1;55;71;77,4647887323944;4204126
974631407;2;0;1;0;4204084
974631407;2;0;1;0;4204126
974631407;4;0;1;0;4204084
974631407;4;0;1;0;4204126
974631776;1;0;21;0;NA
974631776;2;0;1;0;NA
974632535;1;75;93;80,6451612903226;108355
974632535;2;40;43;93,0232558139535;108355
974633159;1;0;3;0;NA
974633191;1;126;137;91,970802919708;102037
974633191;4;0;1;0;102037
974633191;2;32;32;100;102037
974633574;1;195;196;99,4897959183673;100100
974633574;2;58;62;93,5483870967742;100100
974633574;4;0;1;0;100100
974633752;1;302;302;100;4209222
974633752;4;0;7;0;4209222
974633752;2;42;45;93,3333333333333;4209222
974703300;6;13;13;100;114271
974703300;2;73;78;93,5897435897436;114271
974703300;7;3;3;100;114271
974703300;4;3;5;60;114271
974703300;5;27;26;100;114271
974703300;8;1;1;100;114271
974703300;1;252;270;93,3333333333333;114271
974705788;4;0;4;0;103091
974705788;7;0;1;0;103091
974705788;2;22;26;84,6153846153846;103091
974705788;1;131;143;91,6083916083916;103091
974706490;4;18;21;85,7142857142857;108162
974706490;7;0;1;0;108162
974706490;2;70;76;92,1052631578947;108162
974706490;1;360;379;94,9868073878628;108162
974706490;8;0;1;0;108162
974707152;7;0;1;0;4205289
974707152;5;0;5;0;4205289
974707152;4;15;21;71,4285714285714;4205289
974707152;1;37;52;71,1538461538462;4205289
974707152;2;115;157;73,2484076433121;4205289
974724774;1;152;153;99,3464052287582;701402
974724774;2;28;27;100;701402
974724774;4;0;2;0;701402
974724960;2;28;32;87,5;108354
974724960;1;134;131;100;108354
974733013;2;40;41;97,5609756097561;100353
974733013;1;192;194;98,9690721649485;100353
974733013;4;1;4;25;100353
974733013;7;0;1;0;100353
974743272;4;0;5;0;102939
